kind,step,loss,lr,grad_norm
avg,7160,0.0396,1.97e-05,0.39
avg,7180,0.0361,1.96e-05,0.4
avg,7200,0.0265,1.96e-05,0.37
avg,7220,0.0392,1.96e-05,0.37
avg,7240,0.0297,1.96e-05,0.37
avg,7260,0.0307,1.96e-05,0.35
avg,7280,0.0373,1.96e-05,0.4
avg,7300,0.0421,1.96e-05,0.37
avg,7320,0.0226,1.96e-05,0.39
avg,7340,0.0401,1.96e-05,0.4
avg,7360,0.0295,1.96e-05,0.43
avg,7380,0.0421,1.96e-05,0.38
avg,7400,0.0359,1.96e-05,0.38
avg,7420,0.0327,1.96e-05,0.36
avg,7440,0.0337,1.96e-05,0.45
avg,7460,0.026,1.96e-05,0.4
avg,7480,0.0403,1.96e-05,0.43
avg,7500,0.0295,1.96e-05,0.37
avg,7520,0.0391,1.96e-05,0.36
avg,7540,0.0256,1.96e-05,0.38
avg,7560,0.0249,1.96e-05,0.38
avg,7580,0.0289,1.96e-05,0.34
avg,7600,0.0368,1.96e-05,0.34
avg,7620,0.0413,1.96e-05,0.39
avg,7640,0.0302,1.96e-05,0.34
avg,7660,0.033,1.96e-05,0.35
avg,7680,0.0407,1.96e-05,0.37
avg,7700,0.0276,1.96e-05,0.41
avg,7720,0.0357,1.96e-05,0.42
avg,7740,0.0373,1.96e-05,0.38
avg,7760,0.0329,1.96e-05,0.35
avg,7780,0.0254,1.96e-05,0.36
avg,7800,0.0345,1.96e-05,0.35
avg,7820,0.0341,1.96e-05,0.36
avg,7840,0.0302,1.96e-05,0.4
avg,7860,0.0268,1.96e-05,0.36
avg,7880,0.0316,1.95e-05,0.36
avg,7900,0.0247,1.95e-05,0.4
avg,7920,0.0404,1.95e-05,0.38
avg,7940,0.0351,1.95e-05,0.36
avg,7960,0.0301,1.95e-05,0.37
avg,7980,0.0358,1.95e-05,0.39
avg,8000,0.0335,1.95e-05,0.37
avg,8020,0.0276,1.95e-05,0.36
avg,8040,0.0287,1.95e-05,0.37
avg,8060,0.0349,1.95e-05,0.41
avg,8080,0.0324,1.95e-05,0.37
avg,8100,0.0364,1.95e-05,0.44
avg,8120,0.0367,1.95e-05,0.39
avg,8140,0.0241,1.95e-05,0.39
avg,8160,0.0368,1.95e-05,0.37
avg,8180,0.0468,1.95e-05,0.39
avg,8200,0.0351,1.95e-05,0.38
avg,8220,0.0299,1.95e-05,0.35
avg,8240,0.0351,1.95e-05,0.35
avg,8260,0.0323,1.95e-05,0.39
avg,8280,0.0364,1.95e-05,0.38
avg,8300,0.0287,1.95e-05,0.38
avg,8320,0.0276,1.95e-05,0.36
avg,8340,0.0359,1.95e-05,0.39
avg,8360,0.0359,1.95e-05,0.37
avg,8380,0.0389,1.95e-05,0.38
avg,8400,0.0428,1.95e-05,0.4
avg,8420,0.0394,1.95e-05,0.36
avg,8440,0.0274,1.95e-05,0.38
avg,8460,0.0324,1.95e-05,0.39
avg,8480,0.0333,1.95e-05,0.39
avg,8500,0.0375,1.94e-05,0.36
avg,8520,0.0303,1.94e-05,0.43
avg,8540,0.0233,1.94e-05,0.36
avg,8560,0.0336,1.94e-05,0.37
avg,8580,0.0312,1.94e-05,0.38
avg,8600,0.0347,1.94e-05,0.36
avg,8620,0.0267,1.94e-05,0.39
avg,8640,0.0313,1.94e-05,0.38
avg,8660,0.0331,1.94e-05,0.39
avg,8680,0.0338,1.94e-05,0.37
avg,8700,0.0371,1.94e-05,0.44
avg,8720,0.0493,1.94e-05,0.35
avg,8740,0.0358,1.94e-05,0.42
avg,8760,0.036,1.94e-05,0.37
avg,8780,0.0283,1.94e-05,0.4
avg,8800,0.0305,1.94e-05,0.38
avg,8820,0.0335,1.94e-05,0.41
avg,8840,0.026,1.94e-05,0.41
avg,8860,0.0317,1.94e-05,0.42
avg,8880,0.0311,1.94e-05,0.36
avg,8900,0.0287,1.94e-05,0.42
avg,8920,0.033,1.94e-05,0.37
avg,8940,0.0245,1.94e-05,0.37
avg,8960,0.0361,1.94e-05,0.41
avg,8980,0.027,1.94e-05,0.42
avg,9000,0.0349,1.94e-05,0.37
avg,9020,0.0363,1.94e-05,0.39
avg,9040,0.0355,1.94e-05,0.41
avg,9060,0.036,1.94e-05,0.42
avg,9080,0.034,1.93e-05,0.41
avg,9100,0.04,1.93e-05,0.35
avg,9120,0.0265,1.93e-05,0.36
avg,9140,0.0397,1.93e-05,0.38
avg,9160,0.0251,1.93e-05,0.4
avg,9180,0.027,1.93e-05,0.35
avg,9200,0.0355,1.93e-05,0.37
avg,9220,0.0287,1.93e-05,0.37
avg,9240,0.0349,1.93e-05,0.35
avg,9260,0.033,1.93e-05,0.41
avg,9280,0.0358,1.93e-05,0.36
avg,9300,0.0348,1.93e-05,0.4
avg,9320,0.0308,1.93e-05,0.31
avg,9340,0.0303,1.93e-05,0.39
avg,9360,0.0358,1.93e-05,0.36
avg,9380,0.0312,1.93e-05,0.38
avg,9400,0.0287,1.93e-05,0.44
avg,9420,0.0341,1.93e-05,0.4
avg,9440,0.0294,1.93e-05,0.39
avg,9460,0.0292,1.93e-05,0.38
avg,9480,0.0247,1.93e-05,0.39
avg,9500,0.036,1.93e-05,0.36
avg,9520,0.0346,1.93e-05,0.38
avg,9540,0.0403,1.93e-05,0.36
avg,9560,0.0297,1.93e-05,0.39
avg,9580,0.0361,1.93e-05,0.43
avg,9600,0.0228,1.92e-05,0.37
avg,9620,0.0294,1.92e-05,0.45
avg,9640,0.0335,1.92e-05,0.39
avg,9660,0.0362,1.92e-05,0.41
avg,9680,0.0386,1.92e-05,0.38
avg,9700,0.0386,1.92e-05,0.38
avg,9720,0.0258,1.92e-05,0.36
avg,9740,0.0244,1.92e-05,0.38
avg,9760,0.0262,1.92e-05,0.41
avg,9780,0.0354,1.92e-05,0.43
avg,9800,0.0279,1.92e-05,0.43
avg,9820,0.0303,1.92e-05,0.43
avg,9840,0.0302,1.92e-05,0.38
avg,9860,0.0355,1.92e-05,0.41
avg,9880,0.0257,1.92e-05,0.45
avg,9900,0.0364,1.92e-05,0.41
avg,9920,0.0379,1.92e-05,0.4
avg,9940,0.036,1.92e-05,0.39
avg,9960,0.0362,1.92e-05,0.37
avg,9980,0.0309,1.92e-05,0.37
avg,10000,0.0363,1.92e-05,0.4
avg,10020,0.035,1.92e-05,0.42
avg,10040,0.0375,1.92e-05,0.39
avg,10060,0.0282,1.92e-05,0.43
avg,10080,0.0321,1.92e-05,0.37
avg,10100,0.0371,1.91e-05,0.37
avg,10120,0.0369,1.91e-05,0.42
avg,10140,0.0434,1.91e-05,0.38
avg,10160,0.0297,1.91e-05,0.38
avg,10180,0.0203,1.91e-05,0.41
avg,10200,0.0347,1.91e-05,0.41
avg,10220,0.0279,1.91e-05,0.38
avg,10240,0.0243,1.91e-05,0.4
avg,10260,0.0421,1.91e-05,0.39
avg,10280,0.03,1.91e-05,0.41
avg,10300,0.0314,1.91e-05,0.4
avg,10320,0.0309,1.91e-05,0.4
avg,10340,0.0455,1.91e-05,0.42
avg,10360,0.0273,1.91e-05,0.36
avg,10380,0.0253,1.91e-05,0.34
avg,10400,0.0282,1.91e-05,0.38
avg,10420,0.0335,1.91e-05,0.41
avg,10440,0.032,1.91e-05,0.41
avg,10460,0.04,1.91e-05,0.39
avg,10480,0.0353,1.91e-05,0.36
avg,10500,0.0288,1.91e-05,0.38
avg,10520,0.0333,1.91e-05,0.42
avg,10540,0.0402,1.91e-05,0.4
avg,10560,0.0362,1.91e-05,0.39
avg,10580,0.0317,1.9e-05,0.37
avg,10600,0.0281,1.9e-05,0.39
avg,10620,0.033,1.9e-05,0.41
avg,10640,0.0324,1.9e-05,0.43
avg,10660,0.0293,1.9e-05,0.38
avg,10680,0.0331,1.9e-05,0.36
avg,10700,0.0235,1.9e-05,0.39
avg,10720,0.0371,1.9e-05,0.44
avg,10740,0.0289,1.9e-05,0.39
avg,10760,0.0348,1.9e-05,0.43
avg,10780,0.0386,1.9e-05,0.41
avg,10800,0.0316,1.9e-05,0.4
avg,10820,0.0254,1.9e-05,0.36
avg,10840,0.033,1.9e-05,0.37
avg,10860,0.0175,1.9e-05,0.39
avg,10880,0.0395,1.9e-05,0.41
avg,10900,0.0182,1.9e-05,0.43
avg,10920,0.0278,1.9e-05,0.39
avg,10940,0.0318,1.9e-05,0.37
avg,10960,0.0255,1.9e-05,0.4
avg,10980,0.0203,1.9e-05,0.34
avg,11000,0.0269,1.9e-05,0.39
avg,11020,0.0232,1.89e-05,0.36
avg,11040,0.0284,1.89e-05,0.33
avg,11060,0.0319,1.89e-05,0.4
avg,11080,0.0351,1.89e-05,0.53
avg,11100,0.0281,1.89e-05,0.38
avg,11120,0.0323,1.89e-05,0.38
avg,11140,0.0275,1.89e-05,0.39
avg,11160,0.0289,1.89e-05,0.42
avg,11180,0.0313,1.89e-05,0.38
avg,11200,0.0292,1.89e-05,0.4
avg,11220,0.0384,1.89e-05,0.38
avg,11240,0.0362,1.89e-05,0.4
avg,11260,0.0382,1.89e-05,0.38
avg,11280,0.0281,1.89e-05,0.39
avg,11300,0.0288,1.89e-05,0.38
avg,11320,0.0376,1.89e-05,0.38
avg,11340,0.0275,1.89e-05,0.4
avg,11360,0.0346,1.89e-05,0.38
avg,11380,0.0359,1.89e-05,0.41
avg,11400,0.0315,1.89e-05,0.38
avg,11420,0.0325,1.89e-05,0.37
avg,11440,0.0322,1.89e-05,0.43
avg,11460,0.0216,1.88e-05,0.38
avg,11480,0.0309,1.88e-05,0.41
avg,11500,0.0236,1.88e-05,0.39
avg,11520,0.0325,1.88e-05,0.43
avg,11540,0.0253,1.88e-05,0.35
avg,11560,0.0308,1.88e-05,0.46
avg,11580,0.0363,1.88e-05,0.39
avg,11600,0.0327,1.88e-05,0.43
avg,11620,0.0242,1.88e-05,0.41
avg,11640,0.0337,1.88e-05,0.37
avg,11660,0.0272,1.88e-05,0.41
avg,11680,0.0306,1.88e-05,0.42
avg,11700,0.0282,1.88e-05,0.38
avg,11720,0.0277,1.88e-05,0.35
avg,11740,0.0303,1.88e-05,0.4
avg,11760,0.0191,1.88e-05,0.38
avg,11780,0.0265,1.88e-05,0.36
avg,11800,0.0304,1.88e-05,0.39
avg,11820,0.0261,1.88e-05,0.37
avg,11840,0.0296,1.88e-05,0.38
avg,11860,0.0191,1.87e-05,0.36
avg,11880,0.0305,1.87e-05,0.4
avg,11900,0.0322,1.87e-05,0.4
avg,11920,0.039,1.87e-05,0.45
avg,11940,0.0325,1.87e-05,0.4
avg,11960,0.0301,1.87e-05,0.41
avg,11980,0.0369,1.87e-05,0.37
avg,12000,0.0452,1.87e-05,0.42
avg,12020,0.0225,1.87e-05,0.44
avg,12040,0.0298,1.87e-05,0.41
avg,12060,0.037,1.87e-05,0.45
avg,12080,0.0274,1.87e-05,0.4
avg,12100,0.0303,1.87e-05,0.38
avg,12120,0.0212,1.87e-05,0.39
avg,12140,0.0258,1.87e-05,0.4
avg,12160,0.0311,1.87e-05,0.39
avg,12180,0.0326,1.87e-05,0.39
avg,12200,0.0368,1.87e-05,0.39
avg,12220,0.026,1.87e-05,0.38
avg,12240,0.035,1.87e-05,0.39
avg,12260,0.037,1.86e-05,0.41
avg,12280,0.0284,1.86e-05,0.46
avg,12300,0.0343,1.86e-05,0.39
avg,12320,0.0283,1.86e-05,0.39
avg,12340,0.0276,1.86e-05,0.4
avg,12360,0.0197,1.86e-05,0.38
avg,12380,0.0428,1.86e-05,0.41
avg,12400,0.0231,1.86e-05,0.34
avg,12420,0.0269,1.86e-05,0.43
avg,12440,0.0339,1.86e-05,0.42
avg,12460,0.0305,1.86e-05,0.38
avg,12480,0.0345,1.86e-05,0.39
avg,12500,0.0332,1.86e-05,0.44
